Index,Player,Nation,Position,Age,Matches Played (MP),Starts,Minutes Played (Min),90s Played (90s),Goals (Gls),Assists (Ast),Goals + Assists (G+A),Non-Penalty Goals (G-PK),Penalty Kicks Made (PK),Penalty Kicks Attempted (PKatt),Yellow Cards (CrdY),Red Cards (CrdR),Expected Goals (xG),Non-Penalty xG (npxG),Expected Assisted Goals (xAG),Non-Penalty xG + Assisted Goals (npxG+xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90 Minutes (Gls/90),Assists per 90 Minutes (Ast/90),Goals + Assists per 90 Minutes (G+A/90),Non-Penalty Goals per 90 Minutes (G-PK/90),Goals + Assists minus Penalty Kicks per 90 Minutes (G+A-PK/90),Expected Goals per 90 Minutes (xG/90),Expected Assisted Goals per 90 Minutes (xAG/90),Expected Goals + Assisted Goals per 90 Minutes (xG+xAG/90),Non-Penalty Expected Goals per 90 Minutes (npxG/90),Non-Penalty xG + Assisted Goals per 90 Minutes (npxG+xAG/90),Team,Season,Matches Played (MP)
15,Cristhian Stuani,uy URU,FW,36,,5,804,8.9,9,3,12,9,0,0,6,0,9.6,9.6,1.9,11.5,3,5,24,1.01,0.34,1.34,1.01,1.34,1.08,0.21,1.29,1.08,1.29,Girona,2023-2024,31
16,Pablo Torre,es ESP,"MF,FW",20,,4,701,7.8,0,2,2,0,0,0,1,0,0.8,0.8,0.9,1.6,25,65,40,0,0.26,0.26,0,0.26,0.1,0.11,0.21,0.1,0.21,Girona,2023-2024,26
17,Valery Fernï¿½ï¿½,es ESP,"MF,FW",23,,2,506,5.6,2,0,2,2,0,0,1,0,0.7,0.7,0.8,1.5,20,12,54,0.36,0,0.36,0.36,0.36,0.12,0.14,0.26,0.12,0.26,Girona,2023-2024,27
18,Jhon Solis,co COL,MF,18,,2,384,4.3,0,0,0,0,0,0,0,0,1,1,0.3,1.4,9,22,13,0,0,0,0,0,0.24,0.07,0.32,0.24,0.32,Girona,2023-2024,18
19,Antal Yaakobishvili,hu HUN,DF,19,,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0.37,Girona,2023-2024,1
20,Jastin Garcï¿½,es ESP,FW,19,,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,Girona,2023-2024,3
21,Toni Villa,es ESP,FW,28,,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0.17,0,0.17,0.17,0.17,Girona,2023-2024,2
22,Ibrahima Kebe,ml MLI,MF,22,,0,9,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Girona,2023-2024,2
23,Bernardo Espinosa,co COL,DF,34,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Girona,2023-2024,2
24,Silvi Clï¿½,es ESP,MF,18,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Girona,2023-2024,1
25,Juan Carlos,es ESP,GK,35,,0,,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,Girona,2023-2024,0
26,Iker Almena,es ESP,FW,19,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Girona,2023-2024,0
27,Ricard Artero,es ESP,MF,20,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Girona,2023-2024,0
28,Santiago Bueno,uy URU,DF,24,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Girona,2023-2024,0
29,Toni Fuidias,es ESP,GK,22,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Girona,2023-2024,0
30,Borja Garcï¿½,es ESP,"FW,MF",32,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Girona,2023-2024,0
31,Carles Garrido,es ESP,FW,18,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Girona,2023-2024,0
32,Eric Monjonell,es ESP,DF,21,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Girona,2023-2024,0
33,Manu Vallejo,es ESP,"FW,MF",26,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Girona,2023-2024,0
34,Squad Total,,,26.1,,418,3420,38,84,64,148,77,7,8,75,1,70.8,64.6,54,118.6,894,1685,1673,2.21,1.68,3.89,2.03,3.71,1.86,1.42,3.28,1.7,3.12,Girona,2023-2024,38
35,Opponent Total,,,27.2,,418,3420,38,46,30,76,41,5,7,104,5,54.3,48.9,37.7,86.6,610,1277,1269,1.21,0.79,2,1.08,1.87,1.43,0.99,2.42,1.29,2.28,Girona,2023-2024,38
0,Carlos Neva,es ESP,DF,27,36,36,3146,35,0,2,2,0,0,0,4,0,0.1,0.1,3.2,3.3,43,111,98,0,0.06,0.06,0,0.06,0,0.09,0.1,0,0.1,Granada,2023-2024,
1,Ignasi Miquel,es ESP,DF,30,34,33,2992,33.2,1,1,2,1,0,0,5,0,1.4,1.4,1.2,2.5,8,83,8,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08,Granada,2023-2024,
2,Gerard Gumbau,es ESP,MF,28,35,31,2674,29.7,0,3,3,0,0,0,12,0,1.8,1.8,4,5.8,20,135,29,0,0.1,0.1,0,0.1,0.06,0.14,0.19,0.06,0.19,Granada,2023-2024,
3,Lucas Boyï¿,ar ARG,FW,27,31,30,2541,28.2,6,3,9,6,0,0,8,1,6.2,6.2,2.8,8.9,36,65,131,0.21,0.11,0.32,0.21,0.32,0.22,0.1,0.32,0.22,0.32,Granada,2023-2024,
4,Sergio Ruiz,es ESP,MF,28,35,30,2494,27.7,0,4,4,0,0,0,9,0,0.7,0.7,1.3,2,34,113,23,0,0.14,0.14,0,0.14,0.03,0.05,0.07,0.03,0.07,Granada,2023-2024,
5,Myrto Uzuni,al ALB,FW,28,34,28,2448,27.2,11,1,12,7,4,5,3,0,12.9,9,2.6,11.6,21,18,90,0.4,0.04,0.44,0.26,0.29,0.48,0.09,0.57,0.33,0.43,Granada,2023-2024,
6,Ricard Sï¿½ï¿½n,es ESP,DF,23,33,25,2295,25.5,3,0,3,3,0,0,8,0,1,1,1.9,2.9,49,84,103,0.12,0,0.12,0.12,0.12,0.04,0.08,0.11,0.04,0.11,Granada,2023-2024,
7,Gonzalo Villar,es ESP,MF,25,35,21,1803,20,1,3,4,1,0,0,7,0,1.9,1.9,2.2,4.1,27,74,27,0.05,0.15,0.2,0.05,0.2,0.09,0.11,0.2,0.09,0.2,Granada,2023-2024,
8,Bryan Zaragoza,es ESP,"MF,FW",22,21,18,1638,18.2,6,2,8,5,1,1,5,0,3.8,3,3.3,6.3,100,36,127,0.33,0.11,0.44,0.27,0.38,0.21,0.18,0.39,0.16,0.35,Granada,2023-2024,
9,Miguel ï¿½ï¿½ngel R,es ESP,DF,25,19,17,1560,17.3,1,0,1,1,0,0,5,0,0.8,0.8,0.1,0.9,7,27,1,0.06,0,0.06,0.06,0.06,0.05,0,0.05,0.05,0.05,Granada,2023-2024,
10,Augusto Batalla,ar ARG,GK,27,17,17,1530,17,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Granada,2023-2024,
11,Bruno Mï¿½ï¿½,uy URU,DF,23,17,15,1333,14.8,2,0,2,2,0,0,4,0,0.6,0.6,0.1,0.7,8,47,14,0.14,0,0.14,0.14,0.14,0.04,0.01,0.05,0.04,0.05,Granada,2023-2024,
12,ýýscar Melendo,es ESP,"MF,FW",25,26,15,1122,12.5,0,0,0,0,0,0,2,0,0.4,0.4,0.5,0.9,21,38,33,0,0,0,0,0,0.04,0.04,0.07,0.04,0.07,Granada,2023-2024,
13,Andrï¿½ï¿½ Ferr,pt POR,GK,27,15,14,1340,14.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Granada,2023-2024,
14,Raï¿½ï¿½l Torr,es ESP,DF,21,17,14,1250,13.9,0,0,0,0,0,0,4,0,0.2,0.2,0.4,0.6,4,33,2,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Granada,2023-2024,
15,Facundo Pellistri,uy URU,"MF,FW",21,15,14,1232,13.7,2,1,3,2,0,0,2,1,2.5,2.5,1.2,3.7,33,22,96,0.15,0.07,0.22,0.15,0.22,0.18,0.09,0.27,0.18,0.27,Granada,2023-2024,
16,Josï¿½ï¿½ Calle,es ESP,"MF,FW",36,25,7,803,8.9,0,1,1,0,0,0,2,0,1.3,1.3,1.5,2.8,10,35,50,0,0.11,0.11,0,0.11,0.15,0.17,0.32,0.15,0.32,Granada,2023-2024,
17,Kamil Jï¿½ï¿½ï¿,pl POL,MF,25,11,7,571,6.3,0,1,1,0,0,0,2,0,0.1,0.1,1.2,1.3,15,21,31,0,0.16,0.16,0,0.16,0.02,0.19,0.21,0.02,0.21,Granada,2023-2024,
18,Antonio Puertas,es ESP,"MF,FW",31,27,6,730,8.1,0,2,2,0,0,2,3,1,3.2,1.6,0.6,2.2,18,22,46,0,0.25,0.25,0,0.25,0.39,0.08,0.47,0.2,0.27,Granada,2023-2024,
19,Martin Hongla,cm CMR,"MF,DF",25,13,6,562,6.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,3,16,5,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Granada,2023-2024,
20,Kamil Piï¿½ï¿½tko,pl POL,DF,23,9,6,505,5.6,0,0,0,0,0,0,1,1,0.8,0.8,0.1,0.9,2,10,0,0,0,0,0,0,0.14,0.02,0.17,0.14,0.17,Granada,2023-2024,
21,ýýlvaro Carreras,es ESP,"MF,FW",20,13,5,475,5.3,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,13,14,31,0,0,0,0,0,0.07,0.08,0.15,0.07,0.15,Granada,2023-2024,
22,Raï¿½ï¿½l Fernï¿,es ESP,GK,35,4,4,280,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Granada,2023-2024,
23,Matias Arezo,uy URU,FW,20,14,3,369,4.1,0,0,0,0,0,0,1,0,1.2,1.2,0.1,1.2,6,5,17,0,0,0,0,0,0.28,0.01,0.3,0.28,0.3,Granada,2023-2024,
24,Marc Martï¿½ï¿,es ESP,GK,33,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Granada,2023-2024,
25,Wilson Manafï¿,pt POR,"DF,MF",29,4,3,240,2.7,0,0,0,0,0,0,1,0,0,0,0.3,0.3,5,4,6,0,0,0,0,0,0,0.11,0.11,0,0.11,Granada,2023-2024,
26,Faitout Maouassa,fr FRA,"DF,MF",25,6,2,229,2.5,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,8,6,15,0,0.39,0.39,0,0.39,0.06,0.18,0.24,0.06,0.24,Granada,2023-2024,
27,Theo Corbeanu,ca CAN,"MF,FW",21,9,2,182,2,1,0,1,1,0,0,2,0,0.3,0.3,0,0.3,5,5,13,0.49,0,0.49,0.49,0.49,0.14,0,0.14,0.14,0.14,Granada,2023-2024,
28,Vï¿½ï¿½ctor D,es ESP,"DF,MF",35,4,2,162,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Granada,2023-2024,
29,Sergio Rodelas,es ESP,"FW,DF",18,3,2,122,1.4,0,1,1,0,0,0,0,0,0,0,1.1,1.2,3,1,5,0,0.74,0.74,0,0.74,0.02,0.84,0.86,0.02,0.86,Granada,2023-2024,
30,Jesï¿½ï¿½s Val,es ESP,DF,26,3,1,108,1.2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,Granada,2023-2024,
31,Samu Omorodion,es ESP,FW,19,1,1,80,0.9,1,0,1,1,0,0,0,0,0.7,0.7,0,0.7,0,0,3,1.13,0,1.13,1.13,1.13,0.78,0.05,0.84,0.78,0.84,Granada,2023-2024,
32,Njegoï¿½ï¿½ Petro,rs SRB,"MF,FW",24,10,0,157,1.7,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,8,3,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08,Granada,2023-2024,
33,Famara Diedhiou,sn SEN,"FW,MF",30,8,0,89,1,0,1,1,0,0,0,1,0,0.5,0.5,0.2,0.7,5,0,19,0,1.01,1.01,0,1.01,0.5,0.21,0.71,0.5,0.71,Granada,2023-2024,
34,Shon Weissman,il ISR,FW,27,5,0,82,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Granada,2023-2024,
35,Brau,es ESP,DF,21,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Granada,2023-2024,
36,Adri Bosch,es ESP,DF,22,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Granada,2023-2024,
37,Pablo Saenz,es ESP,MF,22,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Granada,2023-2024,
38,Alberto Soro,es ESP,MF,24,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0.51,0,0.51,Granada,2023-2024,
39,Alberto Perea,es ESP,"MF,FW",32,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,2,1,0,0,0,0,0,0,4.87,4.87,0,4.87,Granada,2023-2024,
40,Fran ï¿½ï¿½,es ESP,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Granada,2023-2024,
41,Eghosa Bello,ng NGA,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Granada,2023-2024,
42,Mario Gonzï¿½ï¿,es ESP,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Granada,2023-2024,
43,Adriï¿½ï¿½n Lï,es ESP,GK,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Granada,2023-2024,
44,Lassina Sangare,ci CIV,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Granada,2023-2024,
45,Pol Tristï¿½,es ESP,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Granada,2023-2024,
46,Squad Total,,,26.7,38,418,3420,38,35,27,62,30,5,8,98,4,42.6,36.4,31.1,67.6,512,1044,1030,0.92,0.71,1.63,0.79,1.5,1.12,0.82,1.94,0.96,1.78,Granada,2023-2024,
47,Opponent Total,,,27.2,38,418,3420,38,77,54,131,72,5,6,92,5,64.2,59.5,43.8,103.2,728,1490,1478,2.03,1.42,3.45,1.89,3.32,1.69,1.15,2.84,1.57,2.72,Granada,2023-2024,
0,ýýlvaro Vallýýs,es ESP,GK,26,37,37,3263,36.3,0,0,0,0,0,0,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,Las Palmas,2023-2024,
1,Kirian Rodrï¿½ï¿½,es ESP,MF,27,37,36,3211,35.7,6,2,8,6,0,0,8,0,2.1,2.1,1.6,3.7,46,296,78,0.17,0.06,0.22,0.17,0.22,0.06,0.05,0.1,0.06,0.1,Las Palmas,2023-2024,
2,Mika Mï¿½ï¿½,es ESP,DF,21,36,36,3178,35.3,0,1,1,0,0,0,6,1,0.2,0.2,1,1.1,36,142,13,0,0.03,0.03,0,0.03,0,0.03,0.03,0,0.03,Las Palmas,2023-2024,
3,Munir El Haddadi,ma MAR,FW,27,38,32,2449,27.2,3,2,5,3,0,1,3,0,4.3,3.5,1.9,5.5,26,78,167,0.11,0.07,0.18,0.11,0.18,0.16,0.07,0.23,0.13,0.2,Las Palmas,2023-2024,
4,Sergi Cardona,es ESP,DF,24,35,30,2814,31.3,1,2,3,1,0,0,11,0,2.7,2.7,2.8,5.5,60,160,165,0.03,0.06,0.1,0.03,0.1,0.09,0.09,0.18,0.09,0.18,Las Palmas,2023-2024,
5,Javier Muï¿½ï,es ESP,MF,28,37,30,2640,29.3,2,3,5,2,0,0,6,0,2.5,2.5,1.4,4,33,122,126,0.07,0.1,0.17,0.07,0.17,0.09,0.05,0.14,0.09,0.14,Las Palmas,2023-2024,
6,ýýlex Suýýrez,es ESP,DF,30,32,30,2562,28.5,2,0,2,2,0,0,7,0,1.2,1.2,0.2,1.4,12,109,15,0.07,0,0.07,0.07,0.07,0.04,0.01,0.05,0.04,0.05,Las Palmas,2023-2024,
7,Saï¿½ï¿½l ,gq EQG,DF,24,30,26,2295,25.5,1,0,1,1,0,0,6,1,1.1,1.1,0,1.1,9,69,1,0.04,0,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,Las Palmas,2023-2024,
8,Sandro Ramï¿½ï¿,es ESP,FW,28,27,21,1808,20.1,1,3,4,1,0,1,3,0,3.7,3,2.6,5.6,61,54,209,0.05,0.15,0.2,0.05,0.2,0.19,0.13,0.32,0.15,0.28,Las Palmas,2023-2024,
9,Alberto Moleiro,es ESP,"FW,MF",19,28,21,1803,20,3,3,6,3,0,0,1,0,2,2,2.7,4.6,86,87,184,0.15,0.15,0.3,0.15,0.3,0.1,0.13,0.23,0.1,0.23,Las Palmas,2023-2024,
10,Mï¿½ï¿½ximo Per,ar ARG,MF,20,29,20,1623,18,0,0,0,0,0,0,6,0,0.2,0.2,0.5,0.8,12,78,22,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Las Palmas,2023-2024,
11,Enzo Loiodice,fr FRA,MF,22,34,19,1790,19.9,0,1,1,0,0,0,2,0,0.5,0.5,1.3,1.9,27,97,72,0,0.05,0.05,0,0.05,0.03,0.07,0.09,0.03,0.09,Las Palmas,2023-2024,
12,Marvin,es ESP,"FW,DF",23,31,17,1855,20.6,0,2,2,0,0,0,5,0,0.9,0.9,2.5,3.5,60,36,177,0,0.1,0.1,0,0.1,0.05,0.12,0.17,0.05,0.17,Las Palmas,2023-2024,
13,Julian Araujo,mx MEX,DF,21,25,15,1462,16.2,1,0,1,1,0,0,5,0,0.7,0.7,1.2,1.9,23,74,47,0.06,0,0.06,0.06,0.06,0.04,0.07,0.11,0.04,0.11,Las Palmas,2023-2024,
14,Sory Kaba,gn GUI,FW,28,17,9,720,8,1,1,2,1,0,0,2,0,1.5,1.5,0.3,1.8,7,12,36,0.12,0.12,0.25,0.12,0.25,0.18,0.04,0.23,0.18,0.23,Las Palmas,2023-2024,
15,Jonathan Viera,es ESP,"MF,FW",33,9,7,617,6.9,2,1,3,0,2,2,1,0,2.3,0.7,1,1.7,26,65,37,0.29,0.15,0.44,0,0.15,0.33,0.14,0.47,0.1,0.24,Las Palmas,2023-2024,
16,Marc Cardona,es ESP,FW,28,26,6,737,8.2,4,1,5,3,1,1,4,0,4.2,3.5,1.1,4.5,10,13,74,0.49,0.12,0.61,0.37,0.49,0.52,0.13,0.65,0.42,0.55,Las Palmas,2023-2024,
17,Pejiï¿½,es ESP,FW,27,17,6,504,5.6,2,0,2,2,0,0,1,0,1.3,1.3,0.6,1.9,17,20,66,0.36,0,0.36,0.36,0.36,0.23,0.11,0.34,0.23,0.34,Las Palmas,2023-2024,
18,Daley Sinkgraven,nl NED,DF,28,10,6,374,4.2,0,0,0,0,0,0,0,1,0,0,0,0,3,17,8,0,0,0,0,0,0,0,0,0,0,Las Palmas,2023-2024,
19,Juan Herzog,es ESP,DF,20,4,3,292,3.2,2,0,2,2,0,0,1,0,0.7,0.7,0,0.7,0,3,0,0.62,0,0.62,0.62,0.62,0.21,0,0.21,0.21,0.21,Las Palmas,2023-2024,
20,ýýlvaro Lemos,es ESP,DF,30,4,3,251,2.8,0,0,0,0,0,0,1,0,0,0,0,0,6,17,8,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Las Palmas,2023-2024,
21,Benito Ramï¿½ï¿,es ESP,"FW,MF",28,20,2,384,4.3,1,1,2,1,0,0,0,0,0.4,0.4,0.5,0.9,13,5,46,0.23,0.23,0.47,0.23,0.47,0.09,0.13,0.22,0.09,0.22,Las Palmas,2023-2024,
22,Josï¿½ï¿½ Camp,es ESP,MF,30,8,1,171,1.9,0,0,0,0,0,0,0,0,0,0,0,0,1,15,4,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Las Palmas,2023-2024,
23,Cristian Herrera,es ESP,"FW,MF",32,8,1,166,1.8,1,0,1,1,0,0,1,0,0.9,0.9,0,0.9,2,8,16,0.54,0,0.54,0.54,0.54,0.48,0.02,0.5,0.48,0.5,Las Palmas,2023-2024,
24,Aarï¿½ï¿½n Escan,es ESP,GK,27,2,1,153,1.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Las Palmas,2023-2024,
25,Fabio Gonzï¿½ï¿,es ESP,MF,26,6,1,123,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,Las Palmas,2023-2024,
26,Eric Curbelo,es ESP,"DF,MF",29,2,1,102,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Las Palmas,2023-2024,
27,Omenuke Mfulu,cd COD,"MF,FW",29,5,1,82,0.9,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Las Palmas,2023-2024,
28,Iï¿½ï¿½aki Gonzï,es ESP,MF,19,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Las Palmas,2023-2024,
29,Pau Ferrer,es ESP,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Las Palmas,2023-2024,
30,Ale Gorrin,es ESP,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Las Palmas,2023-2024,
31,ýýlvaro Killane,es ESP,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Las Palmas,2023-2024,
32,Squad Total,,,25.5,38,418,3420,38,33,23,56,30,3,5,84,5,33.2,29.2,23.3,52.5,577,1596,1573,0.87,0.61,1.47,0.79,1.39,0.87,0.61,1.49,0.77,1.38,Las Palmas,2023-2024,
33,Opponent Total,,,27.1,38,418,3420,38,44,33,77,39,5,9,97,5,56.6,49.7,41.8,91.4,584,1207,1191,1.16,0.87,2.03,1.03,1.89,1.49,1.1,2.59,1.31,2.41,Las Palmas,2023-2024,
0,Predrag Rajkoviï¿,rs SRB,GK,27,36,36,3240,36,0,0,0,0,0,0,2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Mallorca,2023-2024,
1,Dani Rodrï¿½ï¿½,es ESP,MF,35,36,31,2615,29.1,2,4,6,2,0,0,9,0,1.4,1.4,4.1,5.5,54,118,110,0.07,0.14,0.21,0.07,0.21,0.05,0.14,0.19,0.05,0.19,Mallorca,2023-2024,
2,Martin Valjent,sk SVK,DF,27,28,28,2349,26.1,0,1,1,0,0,0,5,0,0.3,0.3,0.9,1.2,22,61,27,0,0.04,0.04,0,0.04,0.01,0.03,0.05,0.01,0.05,Mallorca,2023-2024,
3,Giovanni Gonzï¿½ï¿,uy URU,DF,28,34,27,2464,27.4,1,1,2,1,0,0,6,0,0.5,0.5,1.4,1.8,28,91,95,0.04,0.04,0.07,0.04,0.07,0.02,0.05,0.07,0.02,0.07,Mallorca,2023-2024,
4,Samu Costa,pt POR,MF,22,34,26,2303,25.6,1,1,2,1,0,0,8,0,1.1,1.1,0.5,1.6,16,93,32,0.04,0.04,0.08,0.04,0.08,0.04,0.02,0.06,0.04,0.06,Mallorca,2023-2024,
5,Vedat Muriqi,xk KVX,FW,29,29,25,2327,25.9,7,2,9,6,1,3,5,0,10.4,8,2.6,10.6,20,40,134,0.27,0.08,0.35,0.23,0.31,0.4,0.1,0.5,0.31,0.41,Mallorca,2023-2024,
6,Matija Nastasiï¿,rs SRB,DF,30,26,25,2258,25.1,2,0,2,2,0,0,8,0,1,1,0.6,1.6,11,64,4,0.08,0,0.08,0.08,0.08,0.04,0.02,0.06,0.04,0.06,Mallorca,2023-2024,
7,Antonio Raillo,es ESP,DF,31,26,25,2195,24.4,3,2,5,3,0,0,6,1,1.4,1.4,2,3.4,24,80,4,0.12,0.08,0.21,0.12,0.21,0.06,0.08,0.14,0.06,0.14,Mallorca,2023-2024,
8,Sergi Darder,es ESP,MF,29,36,21,2157,24,2,5,7,2,0,0,4,0,2.2,2.2,6.4,8.6,56,132,75,0.08,0.21,0.29,0.08,0.29,0.09,0.27,0.36,0.09,0.36,Mallorca,2023-2024,
9,Antonio Sï¿½ï¿½n,es ESP,MF,26,29,21,1452,16.1,3,1,4,3,0,0,3,0,2.5,2.5,0.8,3.3,35,57,61,0.19,0.06,0.25,0.19,0.25,0.16,0.05,0.21,0.16,0.21,Mallorca,2023-2024,
10,Cyle Larin,ca CAN,FW,28,35,20,1823,20.3,3,2,5,3,0,0,8,0,9,9,1.4,10.4,20,13,103,0.15,0.1,0.25,0.15,0.25,0.45,0.07,0.52,0.45,0.52,Mallorca,2023-2024,
11,Jaume Costa,es ESP,DF,35,30,19,1682,18.7,0,1,1,0,0,0,7,0,0.3,0.3,1.2,1.5,34,50,104,0,0.05,0.05,0,0.05,0.02,0.06,0.08,0.02,0.08,Mallorca,2023-2024,
12,Omar Mascarell,gq EQG,MF,30,29,18,1571,17.5,0,0,0,0,0,0,8,1,0.4,0.4,0,0.4,12,67,11,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Mallorca,2023-2024,
13,Pablo Maffeo,es ESP,DF,26,22,17,1454,16.2,1,2,3,1,0,0,3,1,0.8,0.8,0.9,1.7,38,41,68,0.06,0.12,0.19,0.06,0.19,0.05,0.05,0.1,0.05,0.1,Mallorca,2023-2024,
14,Copete,es ESP,DF,23,19,17,1333,14.8,1,1,2,1,0,0,7,0,0.5,0.5,0.8,1.3,3,52,2,0.07,0.07,0.14,0.07,0.14,0.04,0.05,0.09,0.04,0.09,Mallorca,2023-2024,
15,Manu Morlanes,es ESP,MF,24,35,16,1615,17.9,0,2,2,0,0,0,2,0,1,1,2,3,29,104,31,0,0.11,0.11,0,0.11,0.06,0.11,0.17,0.06,0.17,Mallorca,2023-2024,
16,Toni Lato,es ESP,DF,25,28,16,1544,17.2,0,1,1,0,0,0,3,0,0.2,0.2,1.3,1.6,30,39,110,0,0.06,0.06,0,0.06,0.01,0.08,0.09,0.01,0.09,Mallorca,2023-2024,
17,Abdï¿½ï¿½n P,es ESP,"FW,MF",30,34,11,1270,14.1,6,1,7,6,0,0,4,0,3.2,3.2,2.4,5.6,9,26,49,0.43,0.07,0.5,0.43,0.5,0.23,0.17,0.4,0.23,0.4,Mallorca,2023-2024,
18,Nacho Vidal,es ESP,DF,28,8,5,416,4.6,0,0,0,0,0,0,2,0,1,1,0.2,1.2,5,15,31,0,0,0,0,0,0.23,0.04,0.26,0.23,0.26,Mallorca,2023-2024,
19,Nemanja Radonjiï¿,rs SRB,"MF,DF",27,11,4,353,3.9,0,0,0,0,0,0,0,0,1.6,1.6,0.6,2.2,23,12,43,0,0,0,0,0,0.4,0.16,0.55,0.4,0.55,Mallorca,2023-2024,
20,Siebe Van Der Heyden,be BEL,DF,25,6,4,286,3.2,0,0,0,0,0,0,2,1,0.2,0.2,0,0.2,1,1,1,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Mallorca,2023-2024,
21,Amath,sn SEN,"FW,MF",27,15,3,394,4.4,0,0,0,0,0,0,2,0,1.6,1.6,0.4,1.9,19,13,30,0,0,0,0,0,0.35,0.09,0.44,0.35,0.44,Mallorca,2023-2024,
