Index,Player,Nation,Position,Age,Matches Played (MP),Starts,Minutes Played (Min),90s Played (90s),Goals (Gls),Assists (Ast),Goals + Assists (G+A),Non-Penalty Goals (G-PK),Penalty Kicks Made (PK),Penalty Kicks Attempted (PKatt),Yellow Cards (CrdY),Red Cards (CrdR),Expected Goals (xG),Non-Penalty xG (npxG),Expected Assisted Goals (xAG),Non-Penalty xG + Assisted Goals (npxG+xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90 Minutes (Gls/90),Assists per 90 Minutes (Ast/90),Goals + Assists per 90 Minutes (G+A/90),Non-Penalty Goals per 90 Minutes (G-PK/90),Goals + Assists minus Penalty Kicks per 90 Minutes (G+A-PK/90),Expected Goals per 90 Minutes (xG/90),Expected Assisted Goals per 90 Minutes (xAG/90),Expected Goals + Assisted Goals per 90 Minutes (xG+xAG/90),Non-Penalty Expected Goals per 90 Minutes (npxG/90),Non-Penalty xG + Assisted Goals per 90 Minutes (npxG+xAG/90),Team,Season,Matches Played (MP)
9,Samu Omorodion,es ESP,FW,19,34,21,1918,21.3,8,1,9,8,0,0,6,0,10.8,10.8,1.3,12,30,18,100,0.38,0.05,0.42,0.38,0.42,0.51,0.06,0.56,0.51,0.56,Alaves,2023-2024,
10,Rubï¿½ï¿½n Du,es ESP,DF,27,28,21,1878,20.9,2,1,3,2,0,0,7,0,0.7,0.7,1.5,2.2,16,81,39,0.1,0.05,0.14,0.1,0.14,0.03,0.07,0.1,0.03,0.1,Alaves,2023-2024,
11,Kikï¿,es ESP,"FW,MF",33,33,15,1423,15.8,3,2,5,3,0,1,3,0,7.7,6.9,2,8.9,18,32,97,0.19,0.13,0.32,0.19,0.32,0.49,0.13,0.61,0.44,0.56,Alaves,2023-2024,
12,Alex Sola,es ESP,"FW,MF",24,29,14,1262,14,0,3,3,0,0,0,2,0,1.6,1.6,2.3,3.9,40,42,103,0,0.21,0.21,0,0.21,0.12,0.16,0.28,0.12,0.28,Alaves,2023-2024,
13,Carlos Vicente,es ESP,FW,24,18,12,1114,12.4,2,4,6,2,0,0,1,0,2.3,2.3,3.7,6,23,23,82,0.16,0.32,0.48,0.16,0.48,0.19,0.3,0.49,0.19,0.49,Alaves,2023-2024,
14,Nahuel Tenaglia,ar ARG,DF,27,25,11,1141,12.7,1,0,1,1,0,0,5,0,0.6,0.6,0.5,1.2,17,45,24,0.08,0,0.08,0.08,0.08,0.05,0.04,0.09,0.05,0.09,Alaves,2023-2024,
15,Aleksandar Sedlar,rs SRB,DF,31,11,11,946,10.5,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.3,6,26,1,0.1,0,0.1,0.1,0.1,0.03,0.01,0.03,0.03,0.03,Alaves,2023-2024,
16,Carlos Benavï¿½ï¿,uy URU,MF,25,29,10,1136,12.6,3,1,4,3,0,0,5,0,1,1,0.5,1.5,9,60,5,0.24,0.08,0.32,0.24,0.32,0.08,0.04,0.12,0.08,0.12,Alaves,2023-2024,
17,Ianis Hagi,ro ROU,"MF,FW",24,22,8,804,8.9,0,2,2,0,0,1,3,0,2.8,2,2,4,17,32,58,0,0.22,0.22,0,0.22,0.31,0.22,0.53,0.22,0.44,Alaves,2023-2024,
18,Abderrahman Rebbach,dz ALG,"FW,MF",24,23,6,722,8,1,0,1,1,0,0,1,0,0.8,0.8,1.8,2.6,34,14,78,0.12,0,0.12,0.12,0.12,0.1,0.22,0.33,0.1,0.33,Alaves,2023-2024,
