Index,Player,Nation,Team,Position,Age,Matches Played (MP),Starts,Minutes Played (Min),90s Played (90s),Goals (Gls),Assists (Ast),Goals + Assists (G+A),Non-Penalty Goals (G-PK),Penalty Kicks Made (PK),Penalty Kicks Attempted (PKatt),Yellow Cards (CrdY),Red Cards (CrdR),Expected Goals (xG),Non-Penalty xG (npxG),Expected Assisted Goals (xAG),Non-Penalty xG + Assisted Goals (npxG+xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90 Minutes (Gls/90),Assists per 90 Minutes (Ast/90),Goals + Assists per 90 Minutes (G+A/90),Non-Penalty Goals per 90 Minutes (G-PK/90),Goals + Assists minus Penalty Kicks per 90 Minutes (G+A-PK/90),Expected Goals per 90 Minutes (xG/90),Expected Assisted Goals per 90 Minutes (xAG/90),Expected Goals + Assisted Goals per 90 Minutes (xG+xAG/90),Non-Penalty Expected Goals per 90 Minutes (npxG/90),Non-Penalty xG + Assisted Goals per 90 Minutes (npxG+xAG/90),Unnamed: 35,Season,Matches Played (MP).1
18,Ramón Terrats,es ESP,Villarreal,MF,21.0,16.0,11,816.0,9.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1.5,2.4,21.0,45.0,32.0,0.11,0.11,0.22,0.11,0.22,0.1,0.16,0.26,0.1,0.26,Matches,2022-2023,
19,Francis Coquelin,fr FRA,Villarreal,MF,31.0,16.0,9,748.0,8.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.9,11.0,29.0,27.0,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.23,0.12,0.23,Matches,2022-2023,
20,Manu Trigueros,es ESP,Villarreal,MF,30.0,23.0,8,828.0,9.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.4,0.4,1.1,1.5,12.0,76.0,22.0,0.0,0.11,0.11,0.0,0.11,0.04,0.12,0.16,0.04,0.16,Matches,2022-2023,
21,Arnaut Danjuma,nl NED,Villarreal,FW,25.0,10.0,6,479.0,5.3,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.7,1.9,0.4,2.3,12.0,2.0,35.0,0.38,0.0,0.38,0.19,0.19,0.5,0.07,0.58,0.36,0.43,Matches,2022-2023,
22,Johan Mojica,co COL,Villarreal,DF,29.0,17.0,5,642.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,0.9,27.0,19.0,38.0,0.0,0.0,0.0,0.0,0.0,0.01,0.12,0.13,0.01,0.13,Matches,2022-2023,
23,Jorge Cuenca,es ESP,Villarreal,DF,22.0,10.0,5,506.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,7.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,Matches,2022-2023,
24,Filip Jørgensen,dk DEN,Villarreal,GK,20.0,2.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,
25,Manu Morlanes,es ESP,Villarreal,MF,23.0,4.0,2,158.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,
26,Haissem Hassan,fr FRA,Villarreal,"FW,MF",20.0,2.0,0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2022-2023,
27,Mamadou Fall,sn SEN,Villarreal,DF,19.0,1.0,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,
28,Fernando Niño,es ESP,Villarreal,"MF,FW",21.0,3.0,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.31,Matches,2022-2023,
29,Pascu,es ESP,Villarreal,"DF,FW",19.0,2.0,0,10.0,0.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,2.0,9.0,0.0,9.0,9.0,9.0,1.27,0.0,1.27,1.27,1.27,Matches,2022-2023,
30,Diego Collado,es ESP,Villarreal,FW,21.0,2.0,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,
31,Alberto Del Moral,es ESP,Villarreal,MF,22.0,1.0,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,
0,Unai Simón,es ESP,AC,GK,26.0,,36,3182.0,35.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,36.0
1,Iñaki Williams,gh GHA,AC,FW,29.0,,32,2844.0,31.6,12.0,3.0,15.0,12.0,0.0,0.0,4.0,0.0,9.4,9.4,6.3,15.8,114.0,78.0,333.0,0.38,0.09,0.47,0.38,0.47,0.3,0.2,0.5,0.3,0.5,Matches,2023-2024,34.0
2,Daniel Vivian,es ESP,AC,DF,24.0,,31,2878.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.6,0.6,0.7,1.3,23.0,123.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,2023-2024,33.0
3,Aitor Paredes,es ESP,AC,DF,23.0,,31,2704.0,30.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,1.0,1.2,1.2,0.2,1.4,6.0,107.0,1.0,0.03,0.0,0.03,0.03,0.03,0.04,0.01,0.05,0.04,0.05,Matches,2023-2024,34.0
4,Gorka Guruzeta,es ESP,AC,FW,26.0,,30,2217.0,24.6,14.0,5.0,19.0,14.0,0.0,1.0,2.0,0.0,11.6,10.8,2.4,13.2,18.0,55.0,102.0,0.57,0.2,0.77,0.57,0.77,0.47,0.1,0.57,0.44,0.54,Matches,2023-2024,32.0
5,Nico Williams,es ESP,AC,FW,21.0,,29,2263.0,25.1,5.0,11.0,16.0,5.0,0.0,0.0,6.0,1.0,6.0,6.0,5.7,11.7,143.0,66.0,302.0,0.2,0.44,0.64,0.2,0.64,0.24,0.22,0.46,0.24,0.46,Matches,2023-2024,31.0
6,Óscar de Marcos,es ESP,AC,DF,34.0,,26,2258.0,25.1,1.0,5.0,6.0,1.0,0.0,0.0,5.0,0.0,0.6,0.6,3.1,3.7,51.0,143.0,125.0,0.04,0.2,0.24,0.04,0.24,0.03,0.12,0.15,0.03,0.15,Matches,2023-2024,28.0
7,Iñigo Ruiz de Galarreta,es ESP,AC,MF,29.0,,25,2091.0,23.2,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.3,0.3,2.3,2.6,26.0,147.0,36.0,0.04,0.04,0.09,0.04,0.09,0.01,0.1,0.11,0.01,0.11,Matches,2023-2024,29.0
8,Oihan Sancet,es ESP,AC,MF,23.0,,25,1975.0,21.9,4.0,5.0,9.0,4.0,0.0,1.0,5.0,2.0,6.3,5.5,4.7,10.2,76.0,121.0,157.0,0.18,0.23,0.41,0.18,0.41,0.29,0.21,0.5,0.25,0.47,Matches,2023-2024,30.0
9,Iñigo Lekue,es ESP,AC,DF,30.0,,22,2002.0,22.2,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,1.1,1.2,44.0,119.0,35.0,0.0,0.09,0.09,0.0,0.09,0.01,0.05,0.06,0.01,0.06,Matches,2023-2024,27.0
10,Yuri Berchiche,es ESP,AC,DF,33.0,,22,1930.0,21.4,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,0.9,0.7,1.6,2.4,36.0,132.0,77.0,0.14,0.05,0.19,0.14,0.19,0.04,0.08,0.12,0.03,0.11,Matches,2023-2024,27.0
11,Mikel Vesga,es ESP,AC,MF,30.0,,18,1534.0,17.0,3.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,2.7,1.1,1.2,2.3,10.0,88.0,29.0,0.18,0.06,0.23,0.06,0.12,0.16,0.07,0.23,0.07,0.14,Matches,2023-2024,27.0
12,Beñat Prados,es ESP,AC,"MF,DF",22.0,,16,1449.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,1.0,23.0,87.0,30.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,2023-2024,26.0
13,Álex Berenguer,es ESP,AC,FW,28.0,,15,1592.0,17.7,7.0,3.0,10.0,6.0,1.0,1.0,4.0,0.0,5.2,4.4,3.7,8.1,61.0,30.0,143.0,0.4,0.17,0.57,0.34,0.51,0.29,0.21,0.5,0.25,0.46,Matches,2023-2024,35.0
14,Yeray Álvarez,es ESP,AC,DF,28.0,,14,1152.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.3,0.1,0.4,13.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2023-2024,19.0
15,Ander Herrera,es ESP,AC,MF,33.0,,10,1030.0,11.4,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,1.2,1.9,11.0,94.0,17.0,0.0,0.26,0.26,0.0,0.26,0.06,0.1,0.17,0.06,0.17,Matches,2023-2024,23.0
16,Unai Gómez,es ESP,AC,MF,20.0,,9,875.0,9.7,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.5,1.5,0.7,2.1,20.0,28.0,48.0,0.21,0.0,0.21,0.21,0.21,0.15,0.07,0.22,0.15,0.22,Matches,2023-2024,25.0
17,Dani García,es ESP,AC,MF,33.0,,7,745.0,8.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,0.2,1.0,3.0,36.0,4.0,0.12,0.0,0.12,0.12,0.12,0.1,0.03,0.12,0.1,0.12,Matches,2023-2024,17.0
18,Iker Muniain,es ESP,AC,"MF,FW",30.0,,5,594.0,6.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.7,1.7,0.4,2.2,18.0,43.0,50.0,0.3,0.0,0.3,0.3,0.3,0.26,0.06,0.33,0.26,0.33,Matches,2023-2024,20.0
19,Imanol,es ESP,AC,DF,23.0,,5,525.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,13.0,21.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.04,Matches,2023-2024,9.0
20,Asier Villalibre,es ESP,AC,FW,25.0,,4,513.0,5.7,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.7,1.7,1.0,2.7,6.0,10.0,29.0,0.35,0.18,0.53,0.35,0.53,0.3,0.17,0.47,0.3,0.47,Matches,2023-2024,18.0
21,Adu Ares,es ESP,AC,FW,21.0,,2,265.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,13.0,3.0,39.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,2023-2024,12.0
22,Julen Agirrezabala,es ESP,AC,GK,22.0,,2,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,4.0
23,Raúl García,es ESP,AC,"FW,MF",37.0,,1,420.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.0,0.9,4.0,19.0,15.0,0.21,0.0,0.21,0.21,0.21,0.2,0.0,0.2,0.2,0.2,Matches,2023-2024,20.0
24,Mikel Jauregizar,es ESP,AC,MF,19.0,,1,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,Matches,2023-2024,7.0
25,Peru Nolaskoain,es ESP,AC,"DF,MF",24.0,,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,2.0
26,Aingeru Olabarrieta,es ESP,AC,FW,17.0,,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,2023-2024,1.0
0,Antonio Sivera,es ESP,Alaves,GK,26.0,,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,34.0
1,Jon Guridi,es ESP,Alaves,MF,28.0,,34,2678.0,29.8,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,4.0,4.0,3.5,7.5,30.0,117.0,92.0,0.1,0.13,0.24,0.1,0.24,0.13,0.12,0.25,0.13,0.25,Matches,2023-2024,36.0
2,Ander Guevara,es ESP,Alaves,MF,26.0,,33,2932.0,32.6,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.7,0.7,0.9,1.5,53.0,187.0,37.0,0.03,0.0,0.03,0.03,0.03,0.02,0.03,0.05,0.02,0.05,Matches,2023-2024,37.0
3,Andoni Gorosabel,es ESP,Alaves,DF,26.0,,33,2854.0,31.7,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.7,0.7,1.3,2.0,58.0,117.0,121.0,0.03,0.0,0.03,0.03,0.03,0.02,0.04,0.06,0.02,0.06,Matches,2023-2024,36.0
4,Luis Rioja,es ESP,Alaves,"FW,MF",29.0,,31,2498.0,27.8,5.0,4.0,9.0,2.0,3.0,4.0,4.0,0.0,6.1,3.0,3.9,6.9,70.0,77.0,173.0,0.18,0.14,0.32,0.07,0.22,0.22,0.14,0.36,0.11,0.25,Matches,2023-2024,37.0
5,Antonio Blanco,es ESP,Alaves,MF,23.0,,29,2426.0,27.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.8,0.8,1.2,2.1,20.0,133.0,22.0,0.0,0.04,0.04,0.0,0.04,0.03,0.05,0.08,0.03,0.08,Matches,2023-2024,33.0
6,Rafa Marín,es ESP,Alaves,DF,21.0,,27,2443.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,0.3,1.0,13.0,77.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,2023-2024,33.0
7,Abdel Abqar,ma MAR,Alaves,DF,24.0,,27,2312.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5,0.5,0.2,0.6,7.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,Matches,2023-2024,27.0
8,Javi López,es ESP,Alaves,DF,21.0,,25,2386.0,26.5,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,3.0,4.0,53.0,92.0,120.0,0.04,0.11,0.15,0.04,0.15,0.04,0.11,0.15,0.04,0.15,Matches,2023-2024,32.0
9,Samu Omorodion,es ESP,Alaves,FW,19.0,,21,1918.0,21.3,8.0,1.0,9.0,8.0,0.0,0.0,6.0,0.0,10.8,10.8,1.3,12.0,30.0,18.0,100.0,0.38,0.05,0.42,0.38,0.42,0.51,0.06,0.56,0.51,0.56,Matches,2023-2024,34.0
10,Rubén Duarte,es ESP,Alaves,DF,27.0,,21,1878.0,20.9,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,0.7,0.7,1.5,2.2,16.0,81.0,39.0,0.1,0.05,0.14,0.1,0.14,0.03,0.07,0.1,0.03,0.1,Matches,2023-2024,28.0
11,Kiké,es ESP,Alaves,"FW,MF",33.0,,15,1423.0,15.8,3.0,2.0,5.0,3.0,0.0,1.0,3.0,0.0,7.7,6.9,2.0,8.9,18.0,32.0,97.0,0.19,0.13,0.32,0.19,0.32,0.49,0.13,0.61,0.44,0.56,Matches,2023-2024,33.0
12,Alex Sola,es ESP,Alaves,"FW,MF",24.0,,14,1262.0,14.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,1.6,1.6,2.3,3.9,40.0,42.0,103.0,0.0,0.21,0.21,0.0,0.21,0.12,0.16,0.28,0.12,0.28,Matches,2023-2024,29.0
13,Carlos Vicente,es ESP,Alaves,FW,24.0,,12,1114.0,12.4,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,2.3,2.3,3.7,6.0,23.0,23.0,82.0,0.16,0.32,0.48,0.16,0.48,0.19,0.3,0.49,0.19,0.49,Matches,2023-2024,18.0
14,Nahuel Tenaglia,ar ARG,Alaves,DF,27.0,,11,1141.0,12.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.6,0.6,0.5,1.2,17.0,45.0,24.0,0.08,0.0,0.08,0.08,0.08,0.05,0.04,0.09,0.05,0.09,Matches,2023-2024,25.0
15,Aleksandar Sedlar,rs SRB,Alaves,DF,31.0,,11,946.0,10.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.1,0.3,6.0,26.0,1.0,0.1,0.0,0.1,0.1,0.1,0.03,0.01,0.03,0.03,0.03,Matches,2023-2024,11.0
16,Carlos Benavídez,uy URU,Alaves,MF,25.0,,10,1136.0,12.6,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,1.0,1.0,0.5,1.5,9.0,60.0,5.0,0.24,0.08,0.32,0.24,0.32,0.08,0.04,0.12,0.08,0.12,Matches,2023-2024,29.0
17,Ianis Hagi,ro ROU,Alaves,"MF,FW",24.0,,8,804.0,8.9,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,2.8,2.0,2.0,4.0,17.0,32.0,58.0,0.0,0.22,0.22,0.0,0.22,0.31,0.22,0.53,0.22,0.44,Matches,2023-2024,22.0
18,Abderrahman Rebbach,dz ALG,Alaves,"FW,MF",24.0,,6,722.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,1.8,2.6,34.0,14.0,78.0,0.12,0.0,0.12,0.12,0.12,0.1,0.22,0.33,0.1,0.33,Matches,2023-2024,23.0
19,Giuliano Simeone,ar ARG,Alaves,FW,20.0,,6,630.0,7.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,2.4,1.6,2.0,3.6,25.0,24.0,47.0,0.14,0.29,0.43,0.14,0.43,0.34,0.29,0.63,0.23,0.52,Matches,2023-2024,14.0
20,Jesús Owono,gq EQG,Alaves,GK,22.0,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,4.0
21,Xeber,es ESP,Alaves,"FW,MF",26.0,,3,302.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.6,1.0,6.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.11,0.19,0.3,0.11,0.3,Matches,2023-2024,10.0
22,Joaquín Panichelli,ar ARG,Alaves,"FW,MF",20.0,,2,226.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.7,3.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.22,0.04,0.26,0.22,0.26,Matches,2023-2024,8.0
23,Miguel,es ESP,Alaves,"FW,MF",23.0,,1,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,2023-2024,3.0
24,Mamadou Sylla,sn SEN,Alaves,"FW,MF",29.0,,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,2.0
25,Jon Karrikaburu,es ESP,Alaves,"MF,FW",20.0,,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,2.0
26,Eneko Ortiz,es ESP,Alaves,DF,20.0,,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,1.0
27,Tomás Mendes,es ESP,Alaves,MF,18.0,,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,1.0
28,Unai Ropero,es ESP,Alaves,MF,21.0,,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,1.0
29,Victor Parada,es ESP,Alaves,"FW,MF",21.0,,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,2.0
0,Luís Maximiano,pt POR,Almeria,GK,24.0,,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,33.0
1,Édgar González,es ESP,Almeria,"DF,MF",26.0,,30,2522.0,28.0,2.0,0.0,2.0,2.0,0.0,0.0,7.0,1.0,2.3,2.3,0.3,2.6,6.0,72.0,6.0,0.07,0.0,0.07,0.07,0.07,0.08,0.01,0.09,0.08,0.09,Matches,2023-2024,31.0
2,Adri Embarba,es ESP,Almeria,"FW,MF",31.0,,29,2476.0,27.5,3.0,2.0,5.0,2.0,1.0,1.0,5.0,0.0,4.3,3.5,4.4,8.0,94.0,58.0,167.0,0.11,0.07,0.18,0.07,0.15,0.16,0.16,0.32,0.13,0.29,Matches,2023-2024,36.0
3,Lucas Robertone,ar ARG,Almeria,MF,26.0,,29,2381.0,26.5,0.0,5.0,5.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,2.5,3.5,31.0,128.0,37.0,0.0,0.19,0.19,0.0,0.19,0.04,0.1,0.13,0.04,0.13,Matches,2023-2024,33.0
4,Chumi,es ESP,Almeria,DF,24.0,,26,2434.0,27.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.4,2.4,11.0,68.0,4.0,0.0,0.04,0.04,0.0,0.04,0.04,0.05,0.09,0.04,0.09,Matches,2023-2024,31.0
5,Dion Lopy,sn SEN,Almeria,MF,21.0,,23,1916.0,21.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.3,1.3,1.2,2.4,23.0,90.0,19.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.11,0.06,0.11,Matches,2023-2024,30.0
6,Sergio Arribas,es ESP,Almeria,"MF,FW",21.0,,22,2047.0,22.7,9.0,4.0,13.0,9.0,0.0,0.0,1.0,0.0,8.6,8.6,3.7,12.2,56.0,81.0,94.0,0.4,0.18,0.57,0.4,0.57,0.38,0.16,0.54,0.38,0.54,Matches,2023-2024,34.0
7,Marc Pubill,es ESP,Almeria,DF,20.0,,22,1883.0,20.9,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,1.5,2.2,59.0,36.0,85.0,0.05,0.14,0.19,0.05,0.19,0.03,0.07,0.1,0.03,0.1,Matches,2023-2024,23.0
8,Léo Baptistão,br BRA,Almeria,FW,30.0,,22,1837.0,20.4,6.0,0.0,6.0,6.0,0.0,0.0,6.0,1.0,5.3,5.3,1.8,7.1,26.0,45.0,88.0,0.29,0.0,0.29,0.29,0.29,0.25,0.09,0.34,0.25,0.34,Matches,2023-2024,32.0
9,César Montes,mx MEX,Almeria,DF,26.0,,21,1788.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,0.2,0.9,7.0,52.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04,Matches,2023-2024,21.0
10,Sergio Akieme,es ESP,Almeria,DF,25.0,,19,1675.0,18.6,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.2,1.2,2.2,3.3,27.0,28.0,72.0,0.11,0.0,0.11,0.11,0.11,0.06,0.12,0.18,0.06,0.18,Matches,2023-2024,19.0
11,Largie Ramazani,be BEL,Almeria,"FW,MF",22.0,,16,1555.0,17.3,3.0,5.0,8.0,3.0,0.0,0.0,11.0,2.0,4.7,4.7,5.7,10.5,59.0,42.0,104.0,0.17,0.29,0.46,0.17,0.46,0.27,0.33,0.6,0.27,0.6,Matches,2023-2024,29.0
12,Iddrisu Baba,gh GHA,Almeria,MF,27.0,,14,1430.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,0.6,1.3,1.0,60.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.08,0.05,0.08,Matches,2023-2024,25.0
13,Jonathan Viera,es ESP,Almeria,MF,33.0,,12,912.0,10.1,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,1.3,1.3,2.7,3.9,35.0,68.0,29.0,0.0,0.3,0.3,0.0,0.3,0.13,0.26,0.39,0.13,0.39,Matches,2023-2024,12.0
14,Álex Centelles,es ESP,Almeria,DF,25.0,,11,980.0,10.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.6,1.6,16.0,31.0,53.0,0.0,0.09,0.09,0.0,0.09,0.0,0.14,0.15,0.0,0.15,Matches,2023-2024,14.0
15,Gonzalo Melero,es ESP,Almeria,"MF,FW",29.0,,10,1103.0,12.3,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,1.2,3.2,23.0,49.0,33.0,0.08,0.08,0.16,0.08,0.16,0.16,0.1,0.26,0.16,0.26,Matches,2023-2024,28.0
